대여소�,보관소(,자치구,상세주�,위도,경도,BASE_DATE,ADM_DR_CD,ADM_DR_NM,OBJECTID,재작성 산출물_일별대여평균이용량
"1101",개화동상사마을종점 버스정류장,강서구,서울특별시 강서구 개화동로5길 3-8,37.581612000000000,126.798598999999996,"20200630","1116071",방화2동,"257","4.152054794520548"
"1102",방화사거리 마을버스 버스정류장,강서구,서울특별시 강서구 양천로17길 6,37.573642999999997,126.811806000000004,"20200630","1116070",방화1동,"256","29.610958904109587"
"1103",방화역 4번출구앞,강서구,서울특별시 강서구 금낭화로 135,37.577221000000002,126.812195000000003,"20200630","1116072",방화3동,"258","31.153424657534245"
"1105",방화근린공원,강서구,서울특별시 강서구 금낭화로 176,37.581623000000000,126.812652999999997,"20200630","1116072",방화3동,"258","7.308219178082192"
"1106",신방화사거리,강서구,서울특별시 강서구 방화대로 342,37.573031999999998,126.816451999999998,"20200630","1116070",방화1동,"256","33.794520547945204"
"1108",공항시장역 2번출구 뒤,강서구,서울특별시 강서구 방화동로 지하 30,37.563560000000003,126.810149999999993,"20200630","1116071",방화2동,"257","17.980821917808218"
"1109",공항시장역 4번출구,강서구,서울특별시 강서구 방화동로 지하 30,37.563347000000000,126.810485999999997,"20200630","1116069",공항동,"255","12.391780821917807"
"1110",공항중학교앞,강서구,서울특별시 강서구 방화대로 241,37.562683000000000,126.816237999999998,"20200630","1116069",공항동,"255","16.052054794520547"
"1111",마곡엠밸리6_7단지 마곡중학교,강서구,서울특별시 강서구 마곡중앙5로 58,37.566982000000003,126.821799999999996,"20200630","1116070",방화1동,"256","23.21780821917808"
"1112",마곡엠밸리4단지 정문,강서구,서울특별시 강서구 마곡서로 175,37.568576999999998,126.824776000000000,"20200630","1116064",가양1동,"251","73.83424657534246"
"1113",서남환경공원 버스정류장,강서구,서울특별시 강서구 양천로 201,37.573093000000000,126.822899000000007,"20200630","1116064",가양1동,"251","31.732876712328768"
"1114",서남물재생센터 버스정류장,강서구,서울특별시 강서구 양천로 200,37.572780999999999,126.826279000000000,"20200630","1116064",가양1동,"251","2.415068493150685"
"1115",등촌역 1번출구옆,강서구,서울특별시 강서구 공항대로59길 8,37.551665999999997,126.864090000000004,"20200630","1116052",등촌1동,"242","26.53013698630137"
"1117",스타벅스앞,강서구,서울특별시 강서구 공항대로 329,37.558197000000000,126.844261000000003,"20200630","1116054",등촌3동,"244","53.9013698630137"
"1118",증미역 3번출구뒤(등촌두산위브센티움오피스텔),강서구,서울특별시 강서구 양천로 지하 560,37.557461000000004,126.861457999999999,"20200630","1116052",등촌1동,"242","67.20821917808219"
"1119",염창동 한마음아파트앞(염창동 빛나는 음악학원앞),강서구,서울특별시 강서구 양천로 637,37.554253000000003,126.867560999999995,"20200630","1116051",염창동,"241","45.04520547945206"
"1120",대림경동아파트앞,강서구,서울특별시 강서구 허준로 121,37.565188999999997,126.853995999999995,"20200630","1116065",가양2동,"252","38.73287671232877"
"1121",가양레포츠센터앞,강서구,서울특별시 강서구 양천로61길 101,37.559479000000003,126.864379999999997,"20200630","1116066",가양3동,"253","31.9986301369863"
"1122",황금내근린공원,강서구,서울특별시 강서구 허준로 221-40,37.561931999999999,126.863868999999994,"20200630","1116066",가양3동,"253","50.16849315068493"
"1124",발산역 6번 출구 뒤,강서구,서울특별시 강서구 공항대로 280,37.557968000000002,126.838286999999994,"20200630","1116074",우장산동,"260",
"1125",명덕고교입구(영종빌딩),강서구,서울특별시 강서구 강서로 304,37.552914000000001,126.836571000000006,"20200630","1116067",발산1동,"254","48.37945205479452"
"1126",우장산역 1번출구옆(우장산아이파크105동앞),강서구,서울특별시 강서구 강서로 지하 262,37.548907999999997,126.836562999999998,"20200630","1116074",우장산동,"260","29.568493150684933"
"1127",화곡역(에이스정형외과앞) 버스정류장,강서구,서울특별시 강서구 화곡로 157,37.540981000000002,126.838547000000005,"20200630","1116073",화곡1동,"259","30.81095890410959"
"1128",화곡역 6번출구,강서구,서울특별시 강서구 화곡로 지하 168,37.541412000000001,126.840225000000004,"20200630","1116073",화곡1동,"259","23.83150684931507"
"1129",화곡역 1번 출구 앞,강서구,서울특별시 강서구 화곡로 지하 168,37.542099000000000,126.840217999999993,"20200630","1116074",우장산동,"260","31.442465753424656"
"1130",화곡본동시장 버스정류장,강서구,서울특별시 강서구 화곡로 196,37.542751000000003,126.842620999999994,"20200630","1116055",화곡본동,"245","12.863013698630136"
"1131",꿈돌이공원 앞,강서구,서울특별시 강서구 화곡로 232,37.546444000000001,126.845459000000005,"20200630","1116055",화곡본동,"245","38.81506849315068"
"1132",등촌역 7번출구,강서구,서울특별시 강서구 공항대로 지하 529,37.551108999999997,126.863708000000003,"20200630","1116053",등촌2동,"243","32.42328767123288"
"1135",강서구의회,강서구,서울특별시 강서구 등촌로 185,37.546531999999999,126.862549000000001,"20200630","1116053",등촌2동,"243","28.026027397260275"
"1136",등촌2파출소,강서구,서울특별시 강서구 등촌로 167,37.544787999999997,126.861999999999995,"20200630","1116053",등촌2동,"243","16.482191780821918"
"1137",등촌2동주민센터,강서구,서울특별시 강서구 등촌로 143,37.541431000000003,126.863219999999998,"20200630","1116053",등촌2동,"243","9.597260273972603"
"1139",용문사 버스정류장,강서구,서울특별시 강서구 등촌로 95,37.536991000000000,126.863365000000002,"20200630","1116053",등촌2동,"243","26.053424657534247"
"1140",목동사거리 버스정류장,강서구,서울특별시 강서구 등촌로 19,37.531399000000000,126.863608999999997,"20200630","1116059",화곡4동,"248","32.42465753424658"
"1141",곰달래 문화복지센터 1-1,강서구,서울특별시 강서구 강서로5길 50,37.529060000000001,126.848479999999995,"20200630","1116063",화곡8동,"250","31.684931506849317"
"1145",곰달래 문화복지센터 1-2,강서구,서울특별시 강서구 강서로5길 50,37.528919000000002,126.848083000000003,"20200630","1116073",화곡1동,"259","19.45342465753425"
"1146",곰달래사거리,강서구,서울특별시 강서구 곰달래로 51,37.530338000000000,126.838256999999999,"20200630","1116073",화곡1동,"259","25.084931506849315"
"1148",볏골공원,강서구,서울특별시 강서구 까치산로4길 22,37.541469999999997,126.844780000000000,"20200630","1116055",화곡본동,"245","17.895890410958906"
"1149",신방화역환승주차장,강서구,서울특별시 강서구 마곡서1로 111-12,37.567284000000001,126.818275000000000,"20200630","1116070",방화1동,"256","71.06164383561644"
"1150",송정역 1번출구,강서구,서울특별시 강서구 공항대로3길 18,37.561549999999997,126.810478000000003,"20200630","1116069",공항동,"255","53.02465753424657"
"1151",마곡역1번출구,강서구,서울특별시 강서구 마곡동 727-716,37.560234000000001,126.823470999999998,"20200630","1116064",가양1동,"251","21.356164383561644"
"1152",마곡역교차로,강서구,서울특별시 강서구 마곡동 728-168,37.558666000000002,126.826614000000006,"20200630","1116067",발산1동,"254","50.57260273972603"
"1153","발산역 1번, 9번 인근 대여소",강서구,서울특별시 강서구 공항대로 281,37.558909999999997,126.838097000000005,"20200630","1116064",가양1동,"251","107.2082191780822"
"1155",기쁜우리복지관,강서구,서울특별시 강서구 가양동 1458-15,37.569260000000000,126.848419000000007,"20200630","1116065",가양2동,"252","37.538356164383565"
"1157",강서구청,강서구,서울특별시 강서구 화곡로 302,37.550659000000003,126.849770000000007,"20200630","1116061",화곡6동,"249","39.704109589041096"
"1158",가양역 8번출구,강서구,서울특별시 강서구 양천로 지하 485,37.561034999999997,126.854812999999993,"20200630","1116054",등촌3동,"244","94.16301369863014"
"1159",서서울모터리움앞,강서구,서울특별시 강서구 양천로53길 30,37.565852999999997,126.846596000000005,"20200630","1116064",가양1동,"251","30.32328767123288"
"1160",양천향교역 7번출구앞,강서구,서울특별시 강서구 양천로 지하 341,37.567680000000003,126.840896999999998,"20200630","1116064",가양1동,"251",
"1161",강서면허시험장앞,강서구,서울특별시 강서구 남부순환로 171,37.549694000000002,126.819664000000003,"20200630","1116067",발산1동,"254","8.402739726027397"
"1162",공항초등학교건너편,강서구,서울특별시 강서구 마곡서1로 68,37.562679000000003,126.820473000000007,"20200630","1116070",방화1동,"256","26.92739726027397"
"1163",방화동강서기동대앞,강서구,서울특별시 강서구 방화대로34길 65,37.570498999999998,126.820083999999994,"20200630","1116070",방화1동,"256","22.173972602739727"
"1165",마곡중학교 후문,강서구,서울특별시 강서구 마곡중앙5로 58,37.568446999999999,126.821647999999996,"20200630","1116070",방화1동,"256","16.552054794520547"
"1166",강서구립등빛도서관,강서구,서울특별시 강서구 강서로62길 48,37.562569000000003,126.842461000000000,"20200630","1116054",등촌3동,"244","55.96712328767124"
"1167",마곡수명산파크3단지 교차로,강서구,서울특별시 강서구 수명로 72,37.553466999999998,126.825928000000005,"20200630","1116067",발산1동,"254","52.54931506849315"
"1168",마곡엠밸리10단지 앞,강서구,서울특별시 강서구 마곡중앙1로 72,37.560226000000000,126.819068999999999,"20200630","1116069",공항동,"255","26.28904109589041"
"1169",염창역 1번 출구,강서구,강서구 공항대로 625,37.547198999999999,126.874488999999997,"20200630","1116051",염창동,"241","33.76164383561644"
"1170",강서구보건소 (삼성디지털 프라자),강서구,강서구 공항대로 571,37.549179000000002,126.868797000000001,"20200630","1116051",염창동,"241","21.938356164383563"
"1171",염창동 새마을금고 건너편 (모닝글로리),강서구,강서구 양천로 696,37.550049000000001,126.873160999999996,"20200630","1116051",염창동,"241","35.06027397260274"
"1172",가양3동 주민센터,강서구,강서구 허준로 202,37.561248999999997,126.860579999999999,"20200630","1116066",가양3동,"253","26.697260273972603"
"1173",강서구청사거리(SH타워),강서구,강서구 공항대로 411,37.556258999999997,126.853317000000004,"20200630","1116052",등촌1동,"242","58.76301369863014"
"1174",강서구청사거리(부민병원),강서구,강서구 공항대로 395,37.556598999999999,126.851471000000004,"20200630","1116054",등촌3동,"244","20.40684931506849"
"1175",대한항공 인력개발센터,강서구,강서구 공항대로 453,37.554378999999997,126.857535999999996,"20200630","1116052",등촌1동,"242","21.86986301369863"
"1177",수명중?고교,강서구,"강서구 수명로1길 16, 401동 앞",37.550109999999997,126.823677000000004,"20200630","1116067",발산1동,"254","25.447945205479453"
"1178",개화산역 2번 출구,강서구,강서구 양천로 22,37.572471999999998,126.806168000000000,"20200630","1116071",방화2동,"257","17.084931506849315"
"1180",마곡엠밸리 15단지(1502동) 건너편,강서구,강서구 마곡중앙로 36,37.557468000000000,126.829719999999995,"20200630","1116067",발산1동,"254","28.9"
"1181",농수산식품공사 (강서지사),강서구,강서구 발산로 40,37.551043999999997,126.818496999999994,"20200630","1116067",발산1동,"254","6.804109589041096"
"1182",KBS 스포츠월드,강서구,강서구 공항대로 376,37.556877000000000,126.848808000000005,"20200630","1116061",화곡6동,"249","46.43150684931507"
"1183",KC 대학교,강서구,강서구 까치산로 24길 47,37.548321000000001,126.853401000000005,"20200630","1116061",화곡6동,"249","6.408219178082192"
"1184",마곡13단지,강서구,강서구 공항동 1343,37.556449999999998,126.815978999999999,"20200630","1116069",공항동,"255","36.271232876712325"
"1185",등촌9단지,강서구,강서구 화곡로 63가길 92 (등촌동 704),37.562900999999997,126.849472000000006,"20200630","1116054",등촌3동,"244","28.535616438356165"
"1186",송정중학교,강서구,강서구 공항동 1342,37.554729000000002,126.816092999999995,"20200630","1116069",공항동,"255","12.812328767123288"
"1187",강서수산물도매시장,강서구,강서구 외발산동 424,37.553019999999997,126.818366999999995,"20200630","1116067",발산1동,"254","10.715068493150683"
"1188",롯데중앙연구소,강서구,강서구 마곡동 301-3,37.571381000000002,126.828339000000000,"20200630","1116064",가양1동,"251","8.993150684931507"
"1190",마곡역 교차로(2번출구),강서구,강서구 마곡동 727-747,37.560501000000002,126.826652999999993,"20200630","1116064",가양1동,"251","18.567123287671237"
"1191",마곡역 교차로(NH농협),강서구,강서구 마곡동 727-925,37.560242000000002,126.827163999999996,"20200630","1116064",가양1동,"251","44.14931506849315"
"1192",마곡수명산파크 209동 건너편,강서구,강서구 내발산동 741-8,37.555537999999999,126.826758999999996,"20200630","1116067",발산1동,"254","27.367123287671237"
"1193",마곡센트럴타워 1차,강서구,강서구 마곡동 727-1136,37.559471000000002,126.832076999999998,"20200630","1116064",가양1동,"251","41.75342465753425"
"1194",센서텍㈜,강서구,강서구 마곡동 727-457,37.563301000000003,126.836822999999995,"20200630","1116064",가양1동,"251","19.15890410958904"
"1195",코오롱One&Only타워,강서구,강서구 마곡동 727-525,37.564129000000001,126.834311999999997,"20200630","1116064",가양1동,"251","36.76438356164383"
"1196",서울식물원(문화센터) 건너편,강서구,강서구 마곡동 727-286,37.568241000000000,126.835830999999999,"20200630","1116064",가양1동,"251","15.853424657534246"
"1197",엠펠리체 호텔 건너편,강서구,강서구 마곡동 727-1187,37.560242000000002,126.835808000000000,"20200630","1116064",가양1동,"251","57.99452054794521"
"1198",LG 사이언스파크,강서구,강서구 마곡동 727-925,37.562550000000002,126.827438000000001,"20200630","1116064",가양1동,"251","19.556164383561644"
"1199",우장산역 3번출구,강서구,강서구 화곡동 1006-2,37.547820999999999,126.836128000000002,"20200630","1116058",화곡3동,"247","28.84520547945205"
"1200",개화광역환승센터,강서구,강서구 개화동 492-22,37.578448999999999,126.798973000000004,"20200630","1116071",방화2동,"257","4.810958904109589"
"2701",마곡나루역 5번출구 뒤편,강서구,강서구 마곡동 761-5,37.565201000000002,126.827315999999996,"20200630","1116070",방화1동,"256","118.38082191780822"
"2702",마곡 엠밸리2단지,강서구,강서구 마곡동 735-1,37.569180000000003,126.819443000000007,"20200630","1116070",방화1동,"256","20.65205479452055"
"2703",서울도시가스 앞,강서구,강서구 공항대로 607,37.547485000000002,126.872024999999994,"20200630","1116051",염창동,"241",
"2704",홈플러스(강서점),강서구,강서구 화곡로 398,37.558334000000002,126.854065000000006,"20200630","1116052",등촌1동,"242",
"2706",강서공업고등학교 앞,강서구,"강서구 방화대로47가길 22, 411동 앞",37.576317000000003,126.816497999999996,"20200630","1116072",방화3동,"258",
"2707",한강아파트,강서구,강서구 허준로 23,37.570369999999997,126.844414000000000,"20200630","1116064",가양1동,"251",
"2708",강서한강자이타워 앞,강서구,강서구 양천로 401,37.564681999999998,126.848907999999994,"20200630","1116064",가양1동,"251",
"2709",강변아파트 310동 앞,강서구,강서구 가양동 1459-8,37.564587000000003,126.856917999999993,"20200630","1116065",가양2동,"252",
"2710",라이품 공영주차장 앞,강서구,강서구 강서로 515,37.570728000000003,126.841567999999995,"20200630","1116064",가양1동,"251",
"2711",가로공원공영주차장 1번 출구,강서구,강서구 가로공원로 193,37.537360999999997,126.837447999999995,"20200630","1116073",화곡1동,"259",
"2712",화곡터널입구교차로,강서구,강서구 가로공원로 238,37.538338000000003,126.842392000000004,"20200630","1116073",화곡1동,"259",
"2713",우장초등학교 앞,강서구,강서구 화곡로 263,37.548533999999997,126.846671999999998,"20200630","1116074",우장산동,"260",
"2714",발산1동주민센터교차로,강서구,강서구 강서로47길 86,37.553173000000001,126.831237999999999,"20200630","1116067",발산1동,"254",
"2715",마곡나루역 2번 출구,강서구,강서구 마곡중앙5로 6,37.566882999999997,126.827682999999993,"20200630","1116064",가양1동,"251",
"2716",롯데 R&D 센터,강서구,강서구 마곡동 301-2,37.569175999999999,126.828216999999995,"20200630","1116064",가양1동,"251",
"2717",LG유플러스 마곡사옥,강서구,강서구 마곡중앙8로 71,37.561337000000002,126.833900999999997,"20200630","1116064",가양1동,"251",
"2718",마곡수명산파크1단지,강서구,강서구 마곡동 728-148,37.554993000000003,126.831894000000005,"20200630","1116067",발산1동,"254",
"2719",마곡문화공원,강서구,강서구 마곡중앙8로 20,37.561371000000001,126.830123999999998,"20200630","1116064",가양1동,"251",
"2720",힐스테이트에코,강서구,강서구 마곡동 727-1120,37.559589000000003,126.829780999999997,"20200630","1116064",가양1동,"251",
"2721",등촌1-10단지 교차로,강서구,강서구 강서로 419,37.563144999999999,126.839562000000001,"20200630","1116054",등촌3동,"244",
"2722",마곡 문영비지웍스,강서구,강서구 강서로 391,37.560603999999998,126.838729999999998,"20200630","1116064",가양1동,"251",
"2723",마곡 필네이처,강서구,강서구 마곡동 727-1190,37.560893999999998,126.836692999999997,"20200630","1116064",가양1동,"251",
"2724",(재)FITI시험연구원,강서구,강서구 마곡동 727-211,37.568665000000003,126.838798999999995,"20200630","1116064",가양1동,"251",
"2725",서울식물원 식물문화센터,강서구,강서구 마곡동 727-305,37.569293999999999,126.836196999999999,"20200630","1116064",가양1동,"251",
"2727",서울식물원 잔디마당 앞,강서구,강서구 마곡동 727-558,37.564087000000001,126.830849000000001,"20200630","1116064",가양1동,"251",
"2728",마곡나루역 3번 출구,강서구,강서구 마곡동 372-23,37.565804000000000,126.828079000000002,"20200630","1116064",가양1동,"251",
"2729",넥센 유니버시티 앞,강서구,강서구 마곡동 301-2,37.569485000000000,126.828095000000005,"20200630","1116064",가양1동,"251",
"2730",마곡메가박스 앞,강서구,강서구 마곡동 727-1179,37.559128000000001,126.834952999999999,"20200630","1116064",가양1동,"251",
"2731",명덕고교,강서구,강서구 마곡동 728-46,37.554951000000003,126.834732000000002,"20200630","1116067",발산1동,"254",
"2732",마곡수명산 1-2단지,강서구,강서구 마곡동 728-350,37.555145000000003,126.829453000000001,"20200630","1116067",발산1동,"254",
"2733",마곡13단지 정문 앞,강서구,강서구 마곡동 730-417,37.558540000000001,126.820106999999993,"20200630","1116069",공항동,"255",
"2735",마곡 공공청사,강서구,강서구 마곡서로 101,37.562294000000001,126.823952000000006,"20200630","1116070",방화1동,"256",
"2737",까치산역 3번 출구,강서구,강서로 45,37.531692999999997,126.846587999999997,"20200630","1116073",화곡1동,"259",
"2739",수명산파크1단지교차로,강서구,강서로47길 142,37.553584999999998,126.828568000000004,"20200630","1116067",발산1동,"254",
"2740",마곡레포츠센터,강서구,양천로 251,37.572719999999997,126.832069000000004,"20200630","1116064",가양1동,"251",
"2741",마곡수명산파크5-6단지,강서구,강서구 내발산동 751-1,37.550617000000003,126.826881000000000,"20200630","1116067",발산1동,"254",
"2742",강서구민올림픽체육센터,강서구,화곡로65길 62,37.559401999999999,126.850441000000004,"20200630","1116054",등촌3동,"244",
"2743",동신아파트 104동 앞,강서구,강서로532,37.572245850000002,126.843171100000006,"20200630","1116064",가양1동,"251",
"2744",강서세무서앞,강서구,마곡서1로 60,37.562334170000000,126.821488799999997,"20200630","1116064",가양1동,"251",
"2745",수명초등학교,강서구,수명로1길 84,37.552743010000000,126.823678999999998,"20200630","1116067",발산1동,"254",
"2746",수명산파크4단지411동 앞,강서구,내발산동 751-6,37.553133610000003,126.825057000000001,"20200630","1116067",발산1동,"254",
"3753",공항중학교 버스정류장,강서구,공항동9-12,37.561284069999999,126.816200699999996,"20200630","1116069",공항동,"255",
"3756",마곡힐스테이트 정문,강서구,마곡중앙3로74,37.564999659999998,126.817105100000006,"20200630","1116070",방화1동,"256",
"3760",발산역 8번 출구,강서구,마곡동727-1222,37.577995950000002,126.830590299999997,"20200630","1116064",가양1동,"251",
"3761",나이아가라관광호텔,강서구,양천로743,37.549341130000002,126.878577199999995,"20200630","1116051",염창동,"241",
"3763",등촌태영아파트,강서구,양천로590,37.555994620000000,126.864079399999994,"20200630","1116052",등촌1동,"242",
"3765",문소빌딩,강서구,화곡로229,37.545871130000002,126.844506600000003,"20200630","1116074",우장산동,"260",
"3766",강서문화센터,강서구,화곡로215,37.544783580000001,126.843777099999997,"20200630","1116074",우장산동,"260",
"3792",화곡본동시장 입구,강서구,화곡로206,37.543708109999997,126.843629000000007,"20200630","1116055",화곡본동,"245",
"3767",대원빌딩,강서구,화곡로228,37.545525599999998,126.844931799999998,"20200630","1116055",화곡본동,"245",
"3772",길성그랑프리텔아파트,강서구,방화대로319,37.569353569999997,126.816202300000000,"20200630","1116070",방화1동,"256",
"3775",가양오토갤러리,강서구,강서로74길58,37.566111550000002,126.844086300000001,"20200630","1116064",가양1동,"251",
"3776",김포공항교차로,강서구,방화동651-1,37.568351280000002,126.805063300000000,"20200630","1116071",방화2동,"257",
"3778",김포공항입구 교차로,강서구,방화동621-6,37.562148880000002,126.807941400000004,"20200630","1116071",방화2동,"257",
"3779",유광사여성병원,강서구,강서로191,37.543439640000003,126.838455800000006,"20200630","1116058",화곡3동,"247",
"3780",등촌서광아파트,강서구,공항대로45길68-6,37.557840079999998,126.857006699999999,"20200630","1116052",등촌1동,"242",
"3781",강서아동복지센터,강서구,금낭화로26가길 130,37.586578529999997,126.810946500000000,"20200630","1116071",방화2동,"257",
"3782",겸재정선미술관,강서구,강서구 양천로47길 24,37.571734390000003,126.837926699999997,"20200630","1116064",가양1동,"251",
"3784",벽산아파트,강서구,양천로47길 112,37.575496139999998,126.836867799999993,"20200630","1116064",가양1동,"251",
"3794",안양천합수부(현대3차아파트),강서구,강서구 염창동 222,37.552973420000001,126.876504400000002,"20200630","1116051",염창동,"241",
"3786",강서힐스테이트 상가 앞,강서구,강서구 강서로 242,37.547438640000003,126.836680599999994,"20200630","1116074",우장산동,"260",
"3787",가양나들목,강서구,강서구 가양동 1456-6,37.574050759999999,126.843294799999995,"20200630","1116064",가양1동,"251",
"3788",정곡나들목,강서구,강서구 방화동 57-5번지,37.584340230000002,126.819306299999994,"20200630","1116072",방화3동,"258",
"3789",염창나들목,강서구,강서구 염창동 223-4번지,37.556997099999997,126.871641600000004,"20200630","1116051",염창동,"241",
"3795",공항신성빌딩 앞,강서구,강서구 공항대로 49-2,37.561623290000000,126.812745699999994,"20200630","1116069",공항동,"255",
"3796",송정역 3번출구 앞,강서구,강서구 공항대로 48,37.561077290000000,126.812564499999993,"20200630","1116069",공항동,"255",
"3797",마곡수명산파크7단지 710동 앞,강서구,강서구 내발산동 755,37.548289220000001,126.820757700000001,"20200630","1116067",발산1동,"254",
"3798",그랜드아이파트아파트 앞,강서구,강서구 화곡로 347,37.554963100000002,126.851188300000004,"20200630","1116061",화곡6동,"249",
"3769",가양동 이마트 앞,강서구,강서구 화곡로 347,37.554963100000002,126.851145399999993,"20200630","1116061",화곡6동,"249",
